  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
moyen;0.005;0;0.234;0.167;0.109;0.022;0.155;0.001;0.108;0.186
régime;0.384;0;0.128;0.056;0.273;0.077;0.001;0.016;0.002;0.006
rendre;0.305;0.005;0.068;0.026;0.128;0.167;0.029;0.18;0.01;0.077
devenir;0.196;0.043;0.004;0.18;0.014;0.003;0.032;0.011;0.002;0.514
origine;0;0.002;0.173;0.378;0.016;0.004;0.009;0.006;0.029;0.319
spatial;0.484;0.405;0;0.004;0.016;0.005;0.011;0.028;0.041;0.004
analyser;0.151;0.014;0.411;0.018;0.029;0.313;0.051;0.006;0.004;0.001
notre;0.092;0.005;0.648;0.008;0.006;0;0.097;0.107;0;0.034
conflit;0.051;0.003;0.325;0.002;0.126;0.14;0.229;0.093;0.006;0.001
Histoire;0.24;0.002;0.225;0.142;0.004;0.201;0.005;0.01;0.033;0.053
aujourd'hui;0.46;0.067;0.014;0;0.049;0.028;0.014;0;0.174;0.132
flux;0.236;0.143;0.068;0.325;0.15;0.014;0.036;0.001;0.02;0.003
conduire;0.392;0.022;0.001;0.027;0.315;0.008;0.003;0.004;0.064;0.159
www;0.063;0;0.236;0.487;0.117;0.017;0.009;0.018;0.049;0.003
objet;0.17;0.204;0.103;0.212;0.08;0.004;0.005;0.081;0.031;0.058
cur;0.009;0.088;0.083;0.313;0.179;0.156;0;0.009;0.034;0.112
ordre;0.353;0.06;0.093;0.097;0.236;0.003;0.063;0.006;0;0.052
conquête;0.277;0.066;0.069;0.032;0.084;0.001;0.019;0.021;0.023;0.299
exprimer;0.004;0.018;0.021;0.033;0.375;0.086;0.061;0.259;0.025;0.107
global;0.259;0.095;0.063;0.014;0.008;0.208;0.191;0.007;0.128;0.005
analyse;0.9;0.085;0;0;0;0;0.005;0.002;0.002;0.004
différence;0.009;0.055;0;0.024;0.109;0.027;0.502;0.015;0.019;0.206
support;0.368;0.017;0.369;0.003;0.03;0.006;0.017;0.102;0.042;0.021
particulièrement;0.135;0.153;0.009;0.464;0.006;0.091;0.002;0.042;0.037;0.028
régional;0.362;0.489;0.003;0.094;0.003;0.011;0.002;0.001;0.001;0
